序號,縣市,業者,品項,批號,有效日期,備註
,新竹縣,屏榮食品新豐廠,金酥耐炸油18L,20270408,20270408,泰山自行揭露（中聯批次：315-1150404）
,南投縣,金福華 散裝黃豆油(大豆油),,315-1150404,315-1150404,泰山自行揭露（中聯批次：315-1150404）；業者/品項欄位缺少分隔線，請人工複核並拆分
,雲林縣,松鼎,散裝黃豆油(大豆油),315-1150404,315-1150404,泰山自行揭露（中聯批次：315-1150404）
,新北市,鬍鬚張,黃金優選沙拉油18L,20270520,20270520,泰山自行揭露（中聯批次：318-1150517）；產品毛重：17.5
,新北市,鬍鬚張,黃金優選沙拉油18L,20270529,20270529,泰山自行揭露（中聯批次：316-1150515）；產品毛重：507.5
,嘉義縣,素味食品股份有限公司,散裝黃豆油(大豆油),318-1150406,318-1150406,泰山自行揭露（中聯批次：318-1150406）
,新北市,三豐食品工廠,散裝黃豆油(大豆油),316-1150504,316-1150504,泰山自行揭露（中聯批次：316-1150504）
,嘉義縣,谷王食品工業股份有限公司,散裝黃豆油(大豆油),313-1150512,313-1150512,泰山自行揭露（中聯批次：313-1150512）
,桃園市,譽豐食品有限公司,散裝黃豆油(大豆油),313-1150512,313-1150512,泰山自行揭露（中聯批次：313-1150512）
